epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.128,0.91374,1.4879,1.34785,0.21694,0.69388,0.31952,0.11817,1.93889,2.80738,2.7197,0.06775,0.000325758,0.000325758
2,325.068,0.90065,1.05614,1.34517,0.88348,0.77373,0.8621,0.59949,0.97667,1.19827,1.64127,0.0347435,0.000652566,0.000652566
3,486.947,0.93803,0.99113,1.38854,0.96612,0.87299,0.898,0.68147,0.90168,0.87741,1.584,0.00173035,0.000972774,0.000972774
4,648.692,0.8966,0.95285,1.33871,0.75524,0.84694,0.82722,0.5285,1.12039,1.22556,1.69894,0.0009703,0.0009703,0.0009703
5,833.694,0.86439,0.95691,1.31387,0.86142,0.84694,0.89128,0.66035,0.90799,0.96754,1.51815,0.0009604,0.0009604,0.0009604
6,1038.23,0.8475,0.82807,1.29212,0.94581,0.8905,0.93439,0.71797,0.83475,0.86386,1.4183,0.0009505,0.0009505,0.0009505
7,1242.68,0.84358,0.80417,1.2858,0.86885,0.89796,0.89633,0.68411,0.77568,0.84299,1.38213,0.0009406,0.0009406,0.0009406
8,1402.8,0.8517,0.81256,1.27688,0.82996,0.89796,0.85644,0.65361,0.82668,0.89374,1.42436,0.0009307,0.0009307,0.0009307
9,1517.69,0.85081,0.85499,1.31097,0.93332,0.85693,0.91787,0.68141,0.93515,0.80687,1.54536,0.0009208,0.0009208,0.0009208
10,1632.87,0.85177,0.80751,1.26607,0.8209,0.83673,0.83861,0.42908,1.44351,1.78164,2.04969,0.0009109,0.0009109,0.0009109
11,1754.1,0.86393,0.81123,1.29404,0.9256,0.8886,0.91524,0.70311,0.79917,0.76686,1.39782,0.000901,0.000901,0.000901
12,1864.1,0.78554,0.71444,1.22335,0.9235,0.86735,0.94512,0.74144,0.72747,0.7061,1.36386,0.0008911,0.0008911,0.0008911
13,1998.74,0.74038,0.68206,1.22659,0.89408,0.89796,0.93893,0.74788,0.73764,0.70259,1.35092,0.0008812,0.0008812,0.0008812
14,2129.9,0.78963,0.69047,1.27171,0.94003,0.89796,0.94228,0.74032,0.68639,0.69872,1.30145,0.0008713,0.0008713,0.0008713
15,2265.29,0.7459,0.66197,1.22116,0.97796,0.90543,0.94835,0.74714,0.78885,0.64733,1.3794,0.0008614,0.0008614,0.0008614
16,2408.09,0.79976,0.67677,1.25145,0.92625,0.8971,0.9366,0.73971,0.76629,0.62696,1.38018,0.0008515,0.0008515,0.0008515
17,2565.79,0.74848,0.63924,1.20265,0.93364,0.91837,0.93259,0.71192,0.873,0.63717,1.45107,0.0008416,0.0008416,0.0008416
18,2705.48,0.75404,0.64333,1.23911,0.91966,0.93444,0.95688,0.75482,0.7355,0.57391,1.32399,0.0008317,0.0008317,0.0008317
19,2845.76,0.73824,0.61644,1.20027,0.7519,0.85714,0.83098,0.55535,1.15125,1.0389,1.80582,0.0008218,0.0008218,0.0008218
20,2986.62,0.72121,0.59351,1.20223,0.94786,0.92748,0.95049,0.77782,0.71384,0.56539,1.32895,0.0008119,0.0008119,0.0008119
21,3132.15,0.73164,0.62197,1.19321,0.89262,0.93305,0.92283,0.72574,0.73337,0.61057,1.34719,0.000802,0.000802,0.000802
22,3274.82,0.69434,0.58366,1.18132,0.92655,0.90105,0.95188,0.77332,0.69469,0.57218,1.28997,0.0007921,0.0007921,0.0007921
23,3425.7,0.70368,0.57987,1.18586,0.93574,0.89151,0.92783,0.75565,0.69112,0.57822,1.31404,0.0007822,0.0007822,0.0007822
24,3564.05,0.69468,0.56076,1.18701,0.96489,0.90816,0.94377,0.77905,0.66057,0.54131,1.29211,0.0007723,0.0007723,0.0007723
25,3695.43,0.6987,0.57647,1.20717,0.97775,0.89664,0.95411,0.77039,0.7041,0.53881,1.31431,0.0007624,0.0007624,0.0007624
26,3811.85,0.72685,0.5806,1.18237,0.96725,0.90413,0.94253,0.76438,0.75138,0.58368,1.37299,0.0007525,0.0007525,0.0007525
27,3927.3,0.6644,0.53866,1.1649,0.91988,0.93731,0.95528,0.80797,0.65741,0.54226,1.26624,0.0007426,0.0007426,0.0007426
28,4041.05,0.64101,0.52313,1.14778,0.99122,0.89796,0.97107,0.78825,0.69904,0.49487,1.31711,0.0007327,0.0007327,0.0007327
29,4155.05,0.64907,0.5242,1.16374,0.95708,0.88776,0.96104,0.76541,0.72548,0.57988,1.35536,0.0007228,0.0007228,0.0007228
30,4264.88,0.64499,0.52048,1.1537,0.93632,0.93878,0.96611,0.79175,0.65899,0.47521,1.2862,0.0007129,0.0007129,0.0007129
31,4371.36,0.65137,0.5328,1.17305,0.97893,0.9482,0.97006,0.80904,0.6332,0.45502,1.26935,0.000703,0.000703,0.000703
32,4476.11,0.6506,0.51557,1.16653,0.99215,0.92857,0.96801,0.80731,0.65366,0.46871,1.28475,0.0006931,0.0006931,0.0006931
33,4583.61,0.59764,0.49483,1.13223,0.95796,0.9302,0.96655,0.80108,0.66164,0.51377,1.2834,0.0006832,0.0006832,0.0006832
34,4692.18,0.64302,0.52578,1.16142,0.92643,0.89796,0.95353,0.76288,0.70532,0.55065,1.30991,0.0006733,0.0006733,0.0006733
35,4797.9,0.60308,0.47753,1.10489,0.95646,0.92857,0.9658,0.80698,0.6362,0.49493,1.26297,0.0006634,0.0006634,0.0006634
36,4908.85,0.60095,0.49709,1.12743,0.93038,0.95454,0.96562,0.77854,0.67998,0.51141,1.30317,0.0006535,0.0006535,0.0006535
37,5012.64,0.6297,0.49599,1.13355,0.98602,0.89796,0.95967,0.81728,0.63963,0.47784,1.26265,0.0006436,0.0006436,0.0006436
38,5117.6,0.61226,0.48451,1.12415,0.95843,0.90816,0.96253,0.81877,0.62637,0.46706,1.26507,0.0006337,0.0006337,0.0006337
39,5222.03,0.64179,0.51886,1.14808,0.97766,0.89301,0.96198,0.80983,0.61973,0.47222,1.23102,0.0006238,0.0006238,0.0006238
40,5327.61,0.61752,0.48958,1.11667,0.98898,0.9155,0.96963,0.80742,0.62577,0.46198,1.24997,0.0006139,0.0006139,0.0006139
41,5433.89,0.60591,0.46311,1.12176,0.94403,0.86062,0.94359,0.77649,0.65459,0.548,1.28527,0.000604,0.000604,0.000604
42,5542.16,0.60266,0.47999,1.12774,0.97159,0.90816,0.94987,0.7953,0.6307,0.47914,1.25359,0.0005941,0.0005941,0.0005941
43,5650.46,0.65039,0.48046,1.16106,0.95638,0.89498,0.9481,0.80032,0.65455,0.46732,1.25862,0.0005842,0.0005842,0.0005842
44,5755.97,0.61248,0.47705,1.16659,0.93722,0.93878,0.95313,0.80283,0.65661,0.46098,1.24823,0.0005743,0.0005743,0.0005743
45,5860.92,0.58989,0.44244,1.10867,0.92602,0.92857,0.95675,0.79841,0.63851,0.48364,1.26405,0.0005644,0.0005644,0.0005644
46,5971.44,0.60768,0.45325,1.12551,0.92125,0.95496,0.95994,0.81131,0.62352,0.4491,1.25009,0.0005545,0.0005545,0.0005545
47,6085.89,0.56163,0.4442,1.08523,0.97199,0.91837,0.96629,0.80156,0.62453,0.46079,1.23675,0.0005446,0.0005446,0.0005446
48,6198.3,0.54823,0.43593,1.09153,0.9881,0.88776,0.95652,0.79868,0.61814,0.4581,1.23238,0.0005347,0.0005347,0.0005347
49,6306.56,0.59334,0.44033,1.1149,0.95593,0.92857,0.96072,0.81456,0.60662,0.44213,1.22439,0.0005248,0.0005248,0.0005248
50,6421.15,0.57314,0.42564,1.09488,0.92959,0.92857,0.94098,0.80492,0.62625,0.4545,1.2249,0.0005149,0.0005149,0.0005149
51,6530.97,0.574,0.44442,1.11306,0.96756,0.91313,0.95034,0.7967,0.66211,0.44051,1.28386,0.000505,0.000505,0.000505
52,6638.77,0.57975,0.4382,1.13717,0.9779,0.90294,0.95805,0.81519,0.62501,0.46356,1.24396,0.0004951,0.0004951,0.0004951
53,6743.65,0.52855,0.4199,1.06226,0.94073,0.91837,0.94896,0.79546,0.62071,0.43648,1.22788,0.0004852,0.0004852,0.0004852
54,6846.9,0.54493,0.42628,1.0874,0.96452,0.91837,0.96453,0.79906,0.62095,0.4262,1.23021,0.0004753,0.0004753,0.0004753
55,6951.96,0.55945,0.40409,1.08579,0.96514,0.92857,0.96,0.83478,0.55681,0.41931,1.17598,0.0004654,0.0004654,0.0004654
56,7056.82,0.54456,0.39492,1.08735,0.956,0.91837,0.96415,0.83602,0.57046,0.42217,1.19605,0.0004555,0.0004555,0.0004555
57,7193.59,0.5577,0.42229,1.09712,0.9782,0.91561,0.9494,0.80502,0.61556,0.44896,1.23535,0.0004456,0.0004456,0.0004456
58,7332.19,0.52261,0.39902,1.07132,0.97706,0.90816,0.94109,0.80836,0.60571,0.4327,1.21586,0.0004357,0.0004357,0.0004357
59,7503.41,0.5022,0.37831,1.0621,0.95722,0.91333,0.95347,0.81328,0.59937,0.43948,1.21567,0.0004258,0.0004258,0.0004258
60,7648.33,0.52552,0.39235,1.06728,0.96634,0.91837,0.96668,0.84003,0.54958,0.41741,1.16206,0.0004159,0.0004159,0.0004159
61,7784.36,0.56646,0.38637,1.1231,0.95012,0.92857,0.97263,0.84654,0.55976,0.42141,1.16885,0.000406,0.000406,0.000406
62,7923.69,0.53569,0.406,1.07832,0.94646,0.93878,0.97119,0.82085,0.58943,0.41595,1.20489,0.0003961,0.0003961,0.0003961
63,8051.85,0.52483,0.3907,1.07465,0.94674,0.91837,0.96004,0.82521,0.58875,0.42596,1.2112,0.0003862,0.0003862,0.0003862
64,8166.59,0.50915,0.37852,1.07149,0.96979,0.91837,0.97037,0.8208,0.60626,0.42632,1.22813,0.0003763,0.0003763,0.0003763
65,8271.98,0.53151,0.38393,1.08551,0.97362,0.91837,0.9679,0.826,0.58699,0.44221,1.20627,0.0003664,0.0003664,0.0003664
66,8379.65,0.53556,0.36768,1.08319,0.96266,0.92857,0.96915,0.82936,0.58777,0.41857,1.20576,0.0003565,0.0003565,0.0003565
67,8486.82,0.51889,0.3889,1.0714,0.97823,0.91687,0.96652,0.83048,0.59193,0.41802,1.22527,0.0003466,0.0003466,0.0003466
68,8599.53,0.53619,0.38341,1.09548,0.95072,0.88776,0.96595,0.81001,0.62612,0.45853,1.24462,0.0003367,0.0003367,0.0003367
69,8709.35,0.48013,0.35668,1.02643,0.9386,0.91837,0.96679,0.82585,0.58724,0.41749,1.21646,0.0003268,0.0003268,0.0003268
70,8816.15,0.50913,0.36261,1.06773,0.96441,0.92857,0.96739,0.84943,0.5661,0.39826,1.19116,0.0003169,0.0003169,0.0003169
71,8922.05,0.50853,0.38446,1.07739,0.96473,0.92857,0.96629,0.84038,0.57481,0.41226,1.21754,0.000307,0.000307,0.000307
72,9029.41,0.49178,0.37014,1.0439,0.96418,0.91837,0.96347,0.84061,0.58946,0.43119,1.21924,0.0002971,0.0002971,0.0002971
73,9133.2,0.48438,0.36391,1.05103,0.93822,0.9298,0.96248,0.83836,0.56916,0.42604,1.20854,0.0002872,0.0002872,0.0002872
